year,name,n,prop
2010,Sensor 3,132,6.75E-05
2011,Sensor 3,167,8.64E-05
2012,Sensor 3,140,7.24E-05
2013,Sensor 3,174,9.06E-05
2014,Sensor 3,193,9.91E-05
2015,Sensor 3,186,9.61E-05
1880,Sensor 4,12,0.000122946
1881,Sensor 4,14,0.000141622
1882,Sensor 4,15,0.00012965
1883,Sensor 4,16,0.000133268
1884,Sensor 4,13,9.45E-05
1885,Sensor 4,10,7.04E-05
1886,Sensor 4,10,6.50E-05
1887,Sensor 4,15,9.65E-05
1888,Sensor 4,26,0.000137242
1889,Sensor 4,12,6.34E-05
1890,Sensor 4,24,0.000119012
1891,Sensor 4,15,7.63E-05
1892,Sensor 4,16,7.11E-05
1893,Sensor 4,24,0.000106557
1894,Sensor 4,18,7.63E-05
1895,Sensor 4,13,5.26E-05
1896,Sensor 4,18,7.14E-05
1897,Sensor 4,23,9.26E-05
1898,Sensor 4,21,7.66E-05
1899,Sensor 4,11,4.44E-05
1900,Sensor 4,26,8.18E-05
1901,Sensor 4,21,8.26E-05
1902,Sensor 4,21,7.49E-05
1903,Sensor 4,21,7.55E-05
1904,Sensor 4,23,7.86E-05
1905,Sensor 4,18,5.81E-05
1906,Sensor 4,25,7.98E-05
1907,Sensor 4,21,6.22E-05
1908,Sensor 4,25,7.05E-05
1909,Sensor 4,26,7.06E-05
1910,Sensor 4,33,7.87E-05
1911,Sensor 4,36,8.15E-05
1912,Sensor 4,32,5.45E-05
1913,Sensor 4,42,6.41E-05
1914,Sensor 4,62,7.78E-05
1915,Sensor 4,106,0.000103528
1916,Sensor 4,90,8.29E-05
1917,Sensor 4,89,7.92E-05
1918,Sensor 4,92,7.65E-05
1919,Sensor 4,70,5.96E-05
1920,Sensor 4,82,6.59E-05
1921,Sensor 4,94,7.35E-05
1922,Sensor 4,71,5.69E-05
1923,Sensor 4,118,9.42E-05
1924,Sensor 4,125,9.65E-05
1925,Sensor 4,82,6.49E-05
1926,Sensor 4,116,9.43E-05
1927,Sensor 4,91,7.36E-05
1928,Sensor 4,130,0.000108752
1929,Sensor 4,161,0.000139095
1930,Sensor 4,165,0.000141468
1931,Sensor 4,158,0.000143173
1932,Sensor 4,208,0.000188037
1933,Sensor 4,243,0.000232344
1934,Sensor 4,280,0.000258738
1935,Sensor 4,279,0.000256746
1936,Sensor 4,299,0.000277512
1937,Sensor 4,323,0.000293177
1938,Sensor 4,410,0.00035923
1939,Sensor 4,443,0.000390655
1940,Sensor 4,469,0.00039705
1941,Sensor 4,608,0.000488037
1942,Sensor 4,676,0.000486203
1943,Sensor 4,788,0.000549042
1944,Sensor 4,1293,0.000946262
1945,Sensor 4,1464,0.001087626
1946,Sensor 4,2470,0.001531469
1947,Sensor 4,5838,0.003211608
1948,Sensor 4,11246,0.006453623
1949,Sensor 4,19208,0.010941618
1950,Sensor 4,29073,0.016528865
1951,Sensor 4,42045,0.022768046
1952,Sensor 4,49809,0.026185701
1953,Sensor 4,52196,0.027056981
1954,Sensor 4,54674,0.027465649
1955,Sensor 4,52314,0.026099932
1956,Sensor 4,47829,0.023225515
1957,Sensor 4,40065,0.019101165
1958,Sensor 4,32936,0.015949552
1959,Sensor 4,29552,0.014218103
1960,Sensor 4,25269,0.012148967
1961,Sensor 4,24092,0.011603752
1962,Sensor 4,22893,0.01129393
1963,Sensor 4,21062,0.010595154
1964,Sensor 4,19306,0.009864182
1965,Sensor 4,17083,0.009348551
1966,Sensor 4,16250,0.009256332
1967,Sensor 4,14007,0.008159478
1968,Sensor 4,12286,0.007186981
1969,Sensor 4,11186,0.006345875
1970,Sensor 4,9853,0.005378404
1971,Sensor 4,8675,0.004950478
1972,Sensor 4,6279,0.003893896
1973,Sensor 4,4984,0.003207185
1974,Sensor 4,4345,0.002774305
1975,Sensor 4,3415,0.002188114
1976,Sensor 4,2994,0.0019047
1977,Sensor 4,2677,0.001627475
1978,Sensor 4,2479,0.001508129
1979,Sensor 4,2181,0.001265768
1980,Sensor 4,1938,0.001088625
1981,Sensor 4,1905,0.001065417
1982,Sensor 4,1842,0.001015595
1983,Sensor 4,1605,0.000897097
1984,Sensor 4,1468,0.000814388
1985,Sensor 4,1401,0.000759098
1986,Sensor 4,1284,0.000696035
1987,Sensor 4,1203,0.000642088
1988,Sensor 4,1056,0.000549353
1989,Sensor 4,1076,0.000540218
1990,Sensor 4,1094,0.000532697
1991,Sensor 4,1014,0.000498776
1992,Sensor 4,919,0.000458545
1993,Sensor 4,797,0.000404357
1994,Sensor 4,740,0.000379706
1995,Sensor 4,660,0.000343565
1996,Sensor 4,633,0.000330259
1997,Sensor 4,638,0.000334283
1998,Sensor 4,553,0.00028539
1999,Sensor 4,524,0.000269294
2000,Sensor 4,545,0.000273257
2001,Sensor 4,489,0.000247023
2002,Sensor 4,474,0.000240176
2003,Sensor 4,421,0.000209982
2004,Sensor 4,427,0.000211799
2005,Sensor 4,425,0.000209617
2006,Sensor 4,423,0.000202561
2007,Sensor 4,371,0.000175504
2008,Sensor 4,355,0.000170677
2009,Sensor 4,346,0.000171135
2010,Sensor 4,354,0.000180903
2011,Sensor 4,332,0.000171723
2012,Sensor 4,336,0.000173729
